0,1,MACHAGAI,MISIONES
1,2,VILLA SANTA ROSA,CHUBUT
3,3,25 DE MAYO,MENDOZA
4,4,9 DE JULIO,LA PAMPA
1,5,HERRERA,RIO NEGRO
3,6,PAMPA DEL INFIERNO,CHUBUT
0,7,VILLA GENERAL MITRE,JUJUY
0,8,ALBERTI,SANTA CRUZ
0,9,MACHAGAI,TIERRA DEL FUEGO
1,10,ANCASTI,RIO NEGRO
2,11,9 DE JULIO,MISIONES
3,12,ANCASTI,ENTRE RIOS
3,13,BARADERO,FORMOSA
4,14,VIEDMA,CHUBUT
3,15,VILLA GENERAL MITRE,CORRIENTES
3,16,ARRECIFES,LA RIOJA
4,17,ALBA POSSE,SANTA FE
1,18,GENERAL PINEDO,TUCUMAN
0,19,MAQUINCHAO,CHACO
1,20,ANELO,SAN LUIS
1,21,9 DE JULIO,SALTA
4,22,BAHIA BLANCA,FORMOSA
4,23,9 DE JULIO,BUENOS AIRES
1,24,HERRERA,CORRIENTES
1,25,VILLA GENERAL MITRE,FORMOSA
0,26,ANTARTIDA ARGENTINA,CHUBUT
3,27,HERRERA,RIO NEGRO
3,28,25 DE MAYO,MISIONES
3,29,BAHIA BLANCA,SALTA
4,30,MAQUINCHAO,MISIONES
2,31,VILLA SANTA ROSA,NEUQUEN
3,32,CARHUE,TUCUMAN
0,33,AVELLANEDA,SALTA
2,34,APOSTOLES,LA PAMPA
1,35,ALBERTI,SANTIAGO DEL ESTERO
4,36,CARHUE,NEUQUEN
3,37,MACHAGAI,CATAMARCA
1,38,ALBA POSSE,TUCUMAN
2,39,ADOLFO GONZALES CHAVES,MENDOZA
0,40,PAMPA DEL INFIERNO,FORMOSA
2,41,ALBERTI,MENDOZA
1,42,MAQUINCHAO,BUENOS AIRES
4,43,BARADERO,SANTA CRUZ
1,44,LAS BRENAS,CATAMARCA
3,45,LAS ROSAS,SANTA CRUZ
2,46,TOSTADO,JUJUY
4,47,VILLA GENERAL SAN MARTIN,MISIONES
0,48,MARGARITA BELEN,TUCUMAN
4,49,SIERRA COLORADA,SAN JUAN
4,50,JOAQUIN V. GONZALEZ,CHACO
